Category,Field Name,Source,Description,Notes
General information,id                                                                                             ,Added in PostGIS,Unique ID,
General information,pid_long                                                                                       ,Parcel layer,Parcel ID,
General information,cm_id                                                                                          ,Tax assessor data,Condo Main ID,"When present, used for joining datasets instead of pid_long (Parcel ID)"
General information,st_num                                                                                         ,Tax assessor data,Street number,
General information,st_name                                                                                        ,Tax assessor data,Street name,
General information,st_name_suf                                                                                    ,Tax assessor data,Street name suffix,
General information,unit_num                                                                                       ,Tax assessor data,Address unit number,
General information,zipcode                                                                                        ,Tax assessor data,Zip code,
Uses,ptype                                                                                          ,Tax assessor data,Property type code,"Aggregated to the parcel level for condos, calculated using most common value (mode)"
Uses,ptype_list                                                                          ,Tax assessor data,List of property type codes (where data was aggregated to parcel level),
Uses,lu                                                                                             ,Tax assessor data,Land use code,"Aggregated to the parcel level for condos, calculated using most common value (mode)"
Uses,lu_list,Tax assessor data,List of land use codes (where data was aggregated to parcel level),
Uses,own_occ                                                                                        ,Tax assessor data,Whether the property receives a tax exemption for being owner-occupied,"Aggregated to the parcel level for condos, calculated using most common value (mode)"
Uses,own_occ_list,Tax assessor data,List of owner occupany types (where data was aggregated to parcel level),
General information,owner_list,Tax assessor data,List of property owners,Multiple owners are a result of aggregating condo records
Other,land_sf,Tax assessor data,Land area of parcel (square feet),"Aggregated to the parcel level for condos, calculated using sum"
Building age,yr_built                                                                                       ,Tax assessor data,Year built,"Aggregated to the parcel level for condos, calculated using maximum; zeroes were treated as indicating no data"
Building size,gross_area,Tax assessor data,Building area for commercial parcels (square feet),"Aggregated to the parcel level for condos, calculated using sum"
Building size,living_area                                                                                    ,Tax assessor data,Building living area for residential parcels (square feet),"Aggregated to the parcel level for condos, calculated using sum"
Building size,sqft,Tax assessor data,Building area (square feet),"living_area if parcel is Residential, otherwise gross_area; zeroes were treated as indicating no data"
Height,num_floors                                                                                     ,Tax assessor data,Number of floors,"Aggregated to the parcel level for condos, calculated using maximum; zeroes were treated as indicating no data"
Other,structure_class                                                                                ,Tax assessor data,"Commercial building structure class (e.g. metal, brick/concrete)","Aggregated to the parcel level for condos, calculated using most common value (mode)"
Other,structure_class_list,Tax assessor data,List of building stucture classes (where data was aggregated to parcel level),
Other,bldg_styl                                                                                      ,Tax assessor data,"Building style (decker, row middle, row end, etc.)","Aggregated to the parcel level for condos, calculated using most common value (mode)"
